Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,device,dropout,epochs,features,lr,nb_params,reg,loss/train,loss/val
2024-10-01 06:47:48,42.0min,cd597c8a9c284bbebfee9f43e4afacba,Transformer-GAPE,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,163649,1e-05,0.45028005257437503,1.2133763670921325
2024-10-01 05:40:20,1.1h,513f7fc585d54d52a59ecec234bd050a,Transformer-LAPE,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,163649,1e-05,0.4345293146899984,1.293777549266815
2024-10-01 05:17:18,23.0min,0fa761fb522d44fea06234af50729cd2,Transformer,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,163649,1e-05,1.106609258470656,1.5258474946022034
2024-10-01 05:06:19,11.0min,c077170675204c889c96a5c60a50cea6,GAT,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,171681,1e-05,0.9052340961709807,1.2712907552719117
2024-10-01 05:01:03,5.3min,e4581abc2f1744cebae9569a05c1b816,GCN,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,169681,1e-05,0.9720613865912715,1.2765457510948182
