Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,device,dropout,epochs,features,lr,nb_params,reg,loss/train,loss/val
2024-12-17 00:34:54,1.1h,a4a1db4392ab4a7983c1d40e28882c9d,Transformer-GAPE-PCQM4Mv2,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.1729925546183515,0.18814783236559698
2024-12-17 01:03:42,1.3h,940b1f528c064aa2b2a0523b4bd700b8,Transformer-GAPE-PCQM4Mv2,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.17284740863451317,0.1914150009260458
2024-12-17 01:08:16,1.3h,f697514e25634104aad88d14000d37f4,Transformer-GAPE-PCQM4Mv2,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.17849877899262442,0.19243382399573045
2024-12-17 00:19:22,1.1h,6c204d90856f4075a0a235c7f5b39e3d,Transformer-GAPE-PCQM4Mv2,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.1827617465560116,0.1961648280129713
2024-12-17 01:29:35,1.1h,daf4657ad1524deeb71f34dcf8b0a321,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.17811535232102693,0.19750876549412222
2024-12-17 01:31:15,1.1h,3064263d5fe8439ea3ed7d452dd6d21c,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.18075144691253775,0.19766110400943196
2024-12-16 23:10:12,1.2h,ef7b519e0a7548029118ba7dd934b280,Transformer-GAPE-ER,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.1809624653698793,0.19772862643003464
2024-12-16 22:02:36,1.1h,3b62b3dae3ad463aa24c2276358b7421,Transformer-GAPE-AQSOL,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.18495162876684274,0.19872989637010238
2024-12-17 01:42:41,1.1h,72de511454f443f195604d031dd6808c,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.18257852721570142,0.20192153839504018
2024-12-17 02:24:43,1.3h,0b5e4d9ccc4a4448aa3593ac2c87e479,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.19320437200923465,0.21079301264356165
2024-12-17 03:14:37,1.3h,9e1c4b55e90c4a86b0ac7b3086d680ba,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.19533774768238638,0.21393241558004827
2024-12-17 02:21:36,1.3h,70b9b9ae4a1246c3aab237a85a52d7d4,Transformer-GAPE-OGBN-Arxiv,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.2004199686335094,0.22339803331038532
2024-12-16 20:28:52,3.0h,6e67f79847ff40fe8772db6cae43d969,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.22038591486304554,0.2375568318016389
2024-12-16 19:36:58,2.7h,fe7d1770254b4d48bdc3220b26fd7144,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.2236237930717753,0.2400644772193011
2024-12-16 19:33:23,2.9h,858b753b0aeb4777af0d04ab86d6ee12,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.22574998282674533,0.24302801971926408
2024-12-16 19:36:02,3.0h,3a076992d2ee45aab0b2a562507a1511,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.22848075205710397,0.24562384801752427
2024-12-16 19:29:47,2.5h,c15647cc977748579eea0ad695eb6419,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.23423001036715152,0.2540326311307795
2024-12-16 19:36:09,3.0h,2f0e39dbf1574a26992e8c622028fa19,Transformer-LAPE,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,162945,1e-05,0.23477389074083585,0.2541664321632946
2024-12-16 19:11:32,25.4min,808672793a894716a3d9ebf50c2a6668,Transformer,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,161889,1e-05,0.24074918832351913,0.2598487449919476
2024-12-16 19:10:40,25.4min,4362e112bad248409faa664bac7192e3,Transformer,LOCAL,pcqm4mv2-pe/train.py,jlagesse,FINISHED,300,cuda,0,250,65,0.0002,161889,1e-05,0.24261781551055053,0.26196056867347045
