Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,device,dropout,epochs,features,lr,nb_params,reg,loss/train,loss/val
2024-12-16 15:42:35,42.0min,c555eac836934d93bc3f48924849af0a,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5375679919991312,1.1408036768436431
2024-12-16 19:51:14,43.0min,26a02715fc054b6d8bb180101b7a6105,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6120179910448533,1.1540932536125184
2024-12-16 21:44:19,43.8min,9f06d58aa53f4dc192c4ab258357a7f1,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6535853053195567,1.1589556813240052
2024-12-16 19:37:58,43.6min,a553b4e431aa48c99d16d216bd257ef8,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6489472608023052,1.1747244238853454
2024-12-16 19:09:05,42.1min,5bb7e379eff14e02a9e003752dbdf18f,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.583241897293284,1.1771141767501831
2024-12-16 16:34:29,38.5min,2e0d4e62bd3a4b7dafe027ae258c482c,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.687075492701953,1.1816943109035491
2024-12-16 16:34:21,38.7min,34aa400963264ef2920b27229b9ba7b7,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6076991863643066,1.1856783032417297
2024-12-16 15:56:32,37.8min,de5bd530d7a74b9abe2d50bf6df66758,Transformer-GAPE-AQSOL,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5579431219191491,1.1867852807044983
2024-12-16 16:24:37,43.0min,9509860939d840bc8b56d41d13316ce6,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6468826792662656,1.1908893227577209
2024-12-16 16:52:50,44.0min,24b5eac48dad468d910d3e4487425e01,Transformer-GAPE-ER,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.5920346115208879,1.2017592787742615
2024-12-16 20:21:37,42.7min,4b89f2c5968044058cd222bb7cbf3ea6,Transformer-GAPE-PCQM4Mv2,LOCAL,aqsol-pe/train.py,jlagesse,FINISHED,100,cuda,0,250,65,0.0002,164705,1e-05,0.6445455366297613,1.2030956387519836
