Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cuda,custom_model,dataset,end_factor,epochs,experiment,features,grad_clip,heads,layers,log_frequency,lr,max_lr,model,nb_params,optimizer,out_features,profile,run_name,start_factor,lap/train,lap/val,learning_rate,log_time,loss/train,loss/val,minibatch_loss,system/cpu_utilization_percentage,system/disk_available_megabytes,system/disk_usage_megabytes,system/disk_usage_percentage,system/network_receive_megabytes,system/network_transmit_megabytes,system/system_memory_usage_megabytes,system/system_memory_usage_percentage,top_1/train,top_1/val,top_3/train,top_3/val,top_5/train,top_5/val,train_time
2024-09-30 05:15:16,27.1min,633d327129bf430ebbee516d480a94fc,GATv2-0.3,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.3]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.3,5,0.16450250105568626,0.16021736136878995,0.000018475000000000002,7.152557373046875e-7,3.498938002586365,3.5374794960021974,3.552316188812256,3.8,97969.9,3153.8,3.1,425.6198869999498,309.0889320000424,5578.4,2.8,0.4132737731933594,0.4079600751399994,0.7420645010471344,0.7343915581703186,0.8714844274520874,0.8663359045982361,5.169416427612305
2024-09-30 05:10:50,27.8min,358209a580624de6a6278c9949d9e823,GATv2-0.24,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.24]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.24,5,0.2303124976431685,0.22217590918654248,0.000018475000000000002,4.76837158203125e-7,3.1905067491531374,3.240786075592041,3.201448917388916,5.4,97971.1,3152.6,3.1,444.6611259999918,308.9603169999318,8337.6,4.1,0.440417617559433,0.43662569522857664,0.7739703989028931,0.7697465300559998,0.8960840046405792,0.8939012169837952,5.1150689125061035
2024-09-30 05:07:31,26.9min,b746ff6e2bd146428892fe5d18e3490e,GATv2-0.18,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.18]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.18,5,0.32690458594040556,0.31315787642892207,0.000018475000000000002,4.76837158203125e-7,2.778835554122925,2.8436538219451903,2.8233540058135986,5.6,97964.6,3159.1,3.1,635.4617829993367,465.28530699998373,9523,4.7,0.47915817141532896,0.47385165095329285,0.8056246304512024,0.8014183044433594,0.9148422968387604,0.9123981595039368,4.956202745437622
2024-09-30 05:06:50,27.3min,e6259298cb104dc7bc8cf061248be990,GATv2-0.15,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.15]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.15,5,0.3890435837222424,0.3794031995103571,0.000018475000000000002,9.5367431640625e-7,2.5207517623901365,2.570573902130127,2.4529342651367188,3.9,97969.9,3153.8,3.1,409.89749700017273,299.24260599998524,5646.6,2.8,0.5021280652284622,0.49743842482566836,0.8192698109149933,0.8163206458091736,0.9225237679481506,0.9219498753547668,4.972034454345703
2024-09-30 05:05:49,27.1min,4d2ef683ba3641d9b760cbc2d6f75053,GATv2-0.12,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.12]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.12,5,0.46912117490335714,0.45141034838177696,0.000018475000000000002,9.5367431640625e-7,2.204470100402832,2.271423864364624,2.209841251373291,5.4,97971.1,3152.6,3.1,1411.9424060001038,311.6061570000602,8459.8,4.2,0.530912561416626,0.5215676546096801,0.8356070148944855,0.8337810635566711,0.9291731071472168,0.9288333773612976,4.885120391845703
2024-09-30 05:04:01,25.9min,e461d991aa324396afafc1838a01efe8,GATv2-0.08,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.08]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.08,5,0.585015829780022,0.5786197778330326,0.000018475000000000002,0.000002384185791015625,1.7430181527137756,1.7847416639328002,1.6748311519622803,12.2,131912.9,3172.8,2.3,997.3298299999442,467.0344810000388,58833.4,21.8,0.5797075736522674,0.5738592028617859,0.8584792721271515,0.8544898152351379,0.9389554965496063,0.9374242901802063,4.5237157344818115
2024-09-30 04:59:48,27.1min,87f1a6dd514746c4b795513dd70c0b80,GATv2-0.06,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.06]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.06,5,0.6615762767475938,0.6601102947845805,0.000018475000000000002,9.5367431640625e-7,1.4760232877731323,1.505578589439392,1.4197700023651123,5.7,97964.6,3159.1,3.1,623.3850929997861,457.38631600001827,9497.5,4.7,0.6096618318557739,0.6027105331420899,0.8683315348625184,0.862936794757843,0.9415427100658417,0.9383493781089782,4.916979074478149
2024-09-30 04:54:10,27.2min,3eed1a9293ab4b7895274530c0fb4ed8,GATv2-0.04,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.04]",500,300,OGBN-Arxiv-RUN1,96,0.1,8,4,25,0.0005,0.003,GATv2,65952,adam-one-cycle,96,True,GATv2-0.04,5,0.7421588982232381,0.7280478756957328,0.000018475000000000002,4.76837158203125e-7,1.201113646030426,1.2754416465759277,1.2315125465393066,5.7,97964.6,3159.1,3.1,630.0296350009739,463.105445000052,9567.6,4.7,0.6425610363483429,0.6311464786529541,0.8764079320430755,0.871025562286377,0.9420487427711487,0.9388328433036804,5.020799875259399
2024-09-30 04:53:48,23.6min,edb58e072e3645b698939ee33ce03d34,GAT-0.3,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.3]",500,300,OGBN-Arxiv-RUN1,128,0.1,8,4,25,0.0005,0.003,GAT,67584,adam-one-cycle,128,True,GAT-0.3,5,0.1609983376602125,0.1574641022469594,0.000018475000000000002,9.5367431640625e-7,3.5226930665969847,3.5602015018463136,3.5114567279815674,25.9,131533.8,3551.9,2.6,143.6497490000911,133.28642100002617,46121.6,17.1,0.41051549136638643,0.404653400182724,0.7414208495616913,0.7359535813331604,0.871247935295105,0.8672825336456299,4.240575551986694
2024-09-30 04:53:11,24.4min,c49539f1c7644b92b1a9c3ee095feb13,GAT-0.24,LOCAL,scripts/all_train.py,jlagesse,FAILED,100,True,None,"/scratch/jlagesse/ngmb-data/OGBN-Arxiv[100,0.24]",500,300,OGBN-Arxiv-RUN1,128,0.1,8,4,25,0.0005,0.003,GAT,67584,adam-one-cycle,128,True,GAT-0.24,5,0.22422101322131477,0.21495916535436418,0.000018475000000000002,9.5367431640625e-7,3.2297713708877565,3.2765293598175047,3.238774061203003,8,97441.6,3153.4,3.1,658.5307509999257,288.5681910000276,9044,4.5,0.43705226182937623,0.43345776200294495,0.7704248762130738,0.7696041345596314,0.8928494548797608,0.8921402931213379,4.210169553756714
